202959,726,96332,175
203806,771,95444,166
204601,785,94632,177
205321,849,93844,209
206103,871,93048,196
206821,898,92310,214
207510,913,91602,215
208185,977,90852,229
208873,1039,90102,257
209545,1110,89359,264
210082,1172,88755,285
210711,1218,88080,295
211350,1269,87389,278
211946,1368,86693,334
212428,1468,86104,354
212999,1520,85480,330
213483,1560,84961,361
213937,1597,84475,366
214399,1654,83961,394
214850,1752,83420,433
215291,1846,82890,448
215669,1987,82372,460
215955,2085,81988,491
216219,2161,81660,543
216532,2251,81266,526
216768,2427,80854,615
216949,2583,80515,648
217095,2703,80255,660
217233,2761,80057,650
217364,2879,79807,675
217393,3065,79595,738
217445,3230,79376,790
217412,3367,79267,829
217267,3583,79207,881
217128,3739,79193,864
216999,3913,79147,927
216753,4186,79113,1063
216428,4401,79224,1071
216049,4637,79359,1097
215781,4818,79441,1084
215404,5110,79528,1204
214965,5343,79734,1293
214403,5650,79988,1356
213803,5917,80319,1395
213188,6101,80752,1429
212485,6448,81109,1497
211760,6726,81559,1567
210981,7085,81979,1633
210095,7367,82579,1709
209246,7588,83208,1680
208401,7811,83831,1728
207402,8033,84603,1812
206410,8294,85334,1859
205405,8466,86166,1880
204356,8720,86957,1920
203225,8983,87823,1989
201976,9368,88682,2131
200798,9611,89617,2096
199562,9750,90713,2073
198353,9826,91844,2072
197070,9929,93008,2133
195965,9933,94112,2016
194878,9963,95163,2022
193809,10052,96144,2038
192786,10032,97185,2014
191768,10103,98130,2050
190741,10136,99125,1981
189771,10057,100167,2002
188812,10087,101101,1978
187850,9975,102177,1934
186965,9841,103196,1889
186150,9735,104121,1890
185304,9676,105035,1872
184581,9611,105823,1820
183804,9469,106743,1759
183121,9306,107584,1757
182520,9041,108457,1635
181976,8911,109129,1618
181494,8741,109783,1588
181040,8515,110469,1552
180704,8333,110986,1479
180332,8071,111617,1474
180079,7846,112095,1358
179872,7640,112510,1338
179797,7410,112814,1252
179589,7215,113215,1321
179576,6978,113464,1167
179520,6858,113642,1225
179583,6577,113868,1123
179639,6356,114030,1084
179711,6190,114122,1069
179924,6013,114087,1008
180030,5750,114247,1012
180227,5458,114340,942
180466,5217,114340,908
180823,4987,114209,813
181070,4867,114083,842
181427,4690,113911,782
181852,4475,113700,779
182290,4276,113464,685
182762,4128,113140,678
183260,3910,112854,642
183843,3665,112521,585
184412,3488,112124,579
184976,3317,111727,522
185519,3197,111302,517
186177,3065,110786,516
186859,2901,110269,455
187525,2829,109674,472
188187,2710,109134,450
188780,2597,108658,443
189496,2482,108061,419
190208,2345,107495,376
190869,2273,106905,391
191524,2184,106339,356
192281,2076,105694,371
192979,2004,105058,349
193698,1954,104399,312
194490,1837,103727,270
195214,1756,103096,297
196006,1693,102367,287
196799,1601,101676,236
197556,1543,100985,240
198314,1478,100287,241
199088,1434,99554,263
199847,1384,98842,234
200621,1343,98104,214
201440,1261,97368,218
202192,1219,96659,206
202932,1184,95949,208
203711,1183,95173,223
204515,1113,94438,189
205224,1092,93756,189
206010,1050,93013,177
206834,1038,92203,168
207523,991,91555,168
208299,943,90820,164
209067,908,90075,146
209805,882,89359,155
210599,850,88598,154
211311,797,87939,125
212101,774,87174,136
212821,720,86510,122
213579,699,85770,121
214293,708,85044,130
214990,682,84372,105
215739,682,83629,122
216470,660,82921,95
217226,653,82172,117
217957,637,81458,122
218655,616,80777,117
219336,575,80139,91
220017,564,79468,97
220661,560,78831,107
221340,538,78174,89
222045,522,77484,93
222723,468,76855,67
223391,475,76183,86
224086,468,75495,84
224755,457,74828,73
225486,442,74109,83
226194,435,73400,85
226835,428,72766,80
227476,429,72119,82
228088,420,71516,75
228746,387,70883,55
229323,384,70310,70
229937,369,69713,64
230551,364,69103,59
231173,346,68495,65
231807,329,67873,68
232402,323,67286,60
232978,317,66715,60
233564,313,66136,49
234147,316,65541,64
234753,308,64935,42
235341,292,64367,53
235953,287,63763,46
236526,303,63169,61
237091,304,62603,64
237700,287,62007,51
238257,278,61455,41
238792,269,60933,43
239358,285,60355,57
239899,286,59820,52
240430,286,59279,51
240963,281,58757,50
241497,289,58216,54
242015,300,57687,51
242549,296,57165,50
243058,287,56666,46
243557,282,56177,53
244069,277,55668,52
244599,274,55140,49
245095,270,54651,43
245603,255,54159,48
246102,267,53654,48
246564,271,53185,49
247031,268,52718,46
247475,262,52286,45
247929,271,51831,50
248411,265,51354,58
248893,262,50880,48
249393,268,50381,50
249844,266,49930,54
250294,257,49497,41
250741,257,49048,60
251193,258,48595,50
251659,260,48135,48
252091,266,47701,48
252551,263,47247,52
252953,254,46850,48
253385,234,46440,37
253797,225,46046,43
254204,213,45652,38
254667,206,45197,31
255105,209,44770,38
255511,201,44368,42
255968,191,43928,38
